block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,31032322,left,1,NA,NA,1.502
practice,right_fish.jpg,null,right,31032322,right,1,NA,NA,1.093
practice,bowl.jpg,null,,31032322,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,31032322,right,1,NA,NA,0.951
practice,bowl.jpg,null,,31032322,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,31032322,left,1,NA,NA,0.667
practice,con_left_practice.jpg,congruent,left,31032322,left,1,NA,NA,2.705
practice,in_left_practice.jpg,incongruent,left,31032322,NA,0,1,ci,-1
practice,con_right_practice.jpg,congruent,right,31032322,right,1,1,ic,2.074
practice,nogo_right_practice.jpg,nogo,right,31032322,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,31032322,right,1,1,xi,3.041
practice,nogo_left_practice.jpg,nogo,left,31032322,NA,1,1,ix,-1
