block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,31032333,left,1,NA,NA,3.020
practice,right_fish.jpg,null,right,31032333,right,1,NA,NA,2.178
practice,bowl.jpg,null,,31032333,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,31032333,right,1,NA,NA,1.854
practice,bowl.jpg,null,,31032333,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,31032333,left,1,NA,NA,0.598
practice,con_left_practice.jpg,congruent,left,31032333,left,1,NA,NA,3.929
practice,in_left_practice.jpg,incongruent,left,31032333,left,1,1,ci,3.733
practice,con_right_practice.jpg,congruent,right,31032333,right,1,1,ic,1.749
practice,nogo_right_practice.jpg,nogo,right,31032333,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,31032333,left,0,1,xi,2.496
practice,nogo_left_practice.jpg,nogo,left,31032333,NA,1,1,ix,-1
test,in_left.jpg,incongruent,left,31032333,NA,0,NA,NA,-1
test,con_right.jpg,congruent,right,31032333,right,1,1,ic,1.762
test,con_left.jpg,congruent,left,31032333,left,1,0,cc,1.665
test,nogo_right.jpg,nogo,right,31032333,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,31032333,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,31032333,NA,0,1,xi,-1
test,in_right.jpg,incongruent,right,31032333,right,1,0,ii,3.529
test,nogo_right.jpg,nogo,right,31032333,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,31032333,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,31032333,right,1,1,xc,4.236
test,con_left.jpg,congruent,left,31032333,left,1,0,cc,1.430
test,in_right.jpg,incongruent,right,31032333,right,1,1,ci,3.764
test,in_left.jpg,incongruent,left,31032333,left,1,0,ii,2.244
test,con_left.jpg,congruent,left,31032333,left,1,1,ic,2.666
test,con_right.jpg,congruent,right,31032333,right,1,0,cc,1.446
test,in_left.jpg,incongruent,left,31032333,left,1,1,ci,2.481
test,in_right.jpg,incongruent,right,31032333,right,1,0,ii,2.313
test,nogo_right.jpg,nogo,right,31032333,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,31032333,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,31032333,left,1,1,xc,4.061
test,con_left.jpg,congruent,left,31032333,left,1,0,cc,3.997
test,nogo_right.jpg,nogo,right,31032333,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,31032333,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,31032333,right,1,1,xi,3.578
test,in_right.jpg,incongruent,right,31032333,right,1,0,ii,2.970
test,con_right.jpg,congruent,right,31032333,right,1,1,ic,2.663
test,con_left.jpg,congruent,left,31032333,left,1,0,cc,1.783
test,nogo_left.jpg,nogo,left,31032333,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,31032333,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,31032333,left,1,1,xi,3.513
test,in_right.jpg,incongruent,right,31032333,right,1,0,ii,2.380
test,nogo_left.jpg,nogo,left,31032333,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,31032333,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,31032333,right,1,1,xc,2.530
test,con_right.jpg,congruent,right,31032333,right,1,0,cc,2.263
test,in_left.jpg,incongruent,left,31032333,NA,0,1,ci,-1
