block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,31032322,left,1,NA,NA,1.257
practice,right_fish.jpg,null,right,31032322,right,1,NA,NA,1.029
practice,bowl.jpg,null,,31032322,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,31032322,right,1,NA,NA,0.965
practice,bowl.jpg,null,,31032322,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,31032322,left,1,NA,NA,0.751
practice,con_left_practice.jpg,congruent,left,31032322,left,1,NA,NA,1.690
practice,in_left_practice.jpg,incongruent,left,31032322,NA,0,1,ci,-1
practice,con_right_practice.jpg,congruent,right,31032322,right,1,1,ic,1.650
practice,nogo_right_practice.jpg,nogo,right,31032322,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,31032322,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,31032322,NA,1,1,ix,-1
test,in_right.jpg,incongruent,right,31032322,NA,0,NA,NA,-1
test,in_right.jpg,incongruent,right,31032322,left,0,0,ii,2.216
test,con_right.jpg,congruent,right,31032322,right,1,1,ic,1.298
test,con_left.jpg,congruent,left,31032322,left,1,0,cc,0.908
test,in_left.jpg,incongruent,left,31032322,right,0,1,ci,0.910
test,in_left.jpg,incongruent,left,31032322,left,1,0,ii,2.767
test,con_right.jpg,congruent,right,31032322,right,1,1,ic,1.714
test,con_left.jpg,congruent,left,31032322,left,1,0,cc,0.796
test,nogo_right.jpg,nogo,right,31032322,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,31032322,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,31032322,left,1,1,xc,1.596
test,con_left.jpg,congruent,left,31032322,left,1,0,cc,2.415
test,in_left.jpg,incongruent,left,31032322,left,1,1,ci,3.710
test,in_left.jpg,incongruent,left,31032322,left,1,0,ii,1.477
test,nogo_left.jpg,nogo,left,31032322,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,31032322,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,31032322,right,1,1,xc,1.432
test,con_right.jpg,congruent,right,31032322,right,1,0,cc,1.537
test,nogo_left.jpg,nogo,left,31032322,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,31032322,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,31032322,left,1,1,xi,2.627
test,nogo_right.jpg,nogo,right,31032322,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,31032322,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,31032322,right,1,1,xi,4.607
test,in_right.jpg,incongruent,right,31032322,right,1,0,ii,1.082
test,nogo_left.jpg,nogo,left,31032322,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,31032322,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,31032322,left,1,1,xc,1.901
test,con_right.jpg,congruent,right,31032322,right,1,0,cc,3.000
test,nogo_left.jpg,nogo,left,31032322,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,31032322,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,31032322,right,1,1,xi,2.618
test,in_right.jpg,incongruent,right,31032322,right,1,0,ii,1.202
test,con_right.jpg,congruent,right,31032322,right,1,1,ic,0.719
test,con_left.jpg,congruent,left,31032322,left,1,0,cc,1.401
test,in_left.jpg,incongruent,left,31032322,left,1,1,ci,2.028
